
0;3;3.92
1;3;3.7
2;5;3.47
3;5;3.54
4;3;3.29
5;2;3.63
6;5;3.52
7;3;3.53
8;4;3.65
9;7;3.46
10;3;3.32
11;2;3.3
12;2;3.25
13;4;3.48
14;4;3.77
15;3;3.44
16;4;3.55
17;4;3.57
18;5;3.56
19;4;3.55
20;3;3.77
21;3;3.99
22;3;3.92
23;4;4.17
24;7;4.26
25;8;4.5
26;4;4.69
27;5;4.99
28;5;5.01
29;6;5.68
30;20;5.35
31;3;5.41
32;4;5.26
33;4;5.43
34;4;5.21
35;6;5.34
36;6;5.41
37;6;5.22
38;4;5.4
39;5;5.5
40;6;5.61
41;6;5.82
42;6;6.08
43;6;6.11
44;6;5.33
45;6;5.22
46;6;5.42
47;6;5.22
48;6;5.06
49;6;5.25
50;3;6.08
51;5;6.25
52;3;6.36
53;3;6.46
54;13;6.15
55;9;6.65
56;9;6.53
57;13;6.53
58;13;7.42
59;11;8.09
60;11;8.13
61;15;9.01
62;25;10.4
63;16;11.5
64;20;11.53
65;9;13.61
66;12;15.1
67;20;16.76
68;20;17.81
69;12;18.0
70;24;17.18
71;14;21.68
72;13;23.42
73;26;21.76
74;10;22.1
75;13;23.84
76;74;28.35
77;71;34.26
78;69;34.3
79;81;39.43
80;63;46.12
81;42;49.38
82;54;55.67
83;43;61.82
84;43;61.05
85;44;61.98
86;42;60.05
87;42;60.3
88;42;60.9
89;100;59.77
90;100;62.9
91;78;65.74
92;69;63.31
93;70;68.95
94;41;74.56
95;83;77.47
96;114;82.4
97;107;80.34
98;71;74.71
99;73;67.62
100;69;60.29
101;65;57.7
102;58;62.12
103;55;64.27
104;67;61.35
105;67;63.03
106;58;61.16
107;38;58.84
108;61;58.81
109;61;57.91
110;63;54.7
111;72;57.2
112;89;57.07
113;67;56.11
114;50;57.51
115;52;61.67
116;50;62.23
117;48;67.12
118;48;70.22
119;98;68.85
120;65;72.11
121;65;66.86
122;64;70.0
123;40;72.55
124;94;67.19
125;94;68.89
126;94;76.08
127;77;69.73
128;76;69.94
129;101;71.69
130;36;67.31
131;36;66.11
132;36;64.17
133;35;72.2
134;35;75.6
135;100;77.95
136;100;81.13
137;95;84.26
138;91;83.84
139;97;90.24
140;95;88.33
141;96;86.75
142;92;85.97
143;92;83.01
144;72;84.55
145;90;82.86
146;91;83.24
147;73;83.6
148;87;87.21
149;102;84.25
150;90;80.66
151;69;83.75
152;71;81.43
153;89;82.12
154;71;78.89
155;95;81.43
156;95;77.88
157;99;77.06
158;96;77.98
159;69;75.56
160;103;77.42
161;65;76.91
162;65;77.09
163;99;80.37
164;93;77.92
165;67;78.69
166;88;76.35
167;86;76.96
168;66;77.11
169;93;76.3
170;90;75.56
171;76;78.0
172;94;75.0
173;104;75.62
174;87;78.15
175;87;76.59
176;89;80.76
177;94;82.78
178;122;83.25
179;99;86.12
180;81;85.44
181;90;87.09
182;105;89.74
183;79;83.54
184;65;86.19
185;90;81.29
186;84;82.85
187;100;80.01
188;96;80.7
189;89;84.45
190;96;84.85
191;85;84.89
192;88;86.52
193;108;86.07
194;110;91.94
195;84;92.14
196;116;92.74
197;105;96.82
198;97;90.55
199;96;92.38
200;115;94.36
